environment,team,relay_count,map_mode,command_mode,stress,seed,mission_success,safe_delivery_success,degraded_outcome,payload_delivery_rate,mean_progress,operational_score,attrition_rate,mean_hazard_exposure,mean_effective_map_delay,packet_loss,completion_step,mean_command_consensus,command_reversal_rate
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4202289588,1,1,0,1.0,0.8318403663685764,90.80048883301481,0.0,0.0885202278828174,12,0.0776,428,0.9056559672228013,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4219067207,1,0,1,1.0,0.6784886820241082,86.22991772045333,0.08333333333333337,0.07520818253929026,12,0.0776,462,0.8843998195528041,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4235844826,1,1,0,1.0,0.8534465619297325,92.01738569799345,0.0,0.07654854494263072,12,0.0776,391,0.8980098551261204,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4252622445,1,1,0,1.0,0.7117380274773497,86.29152975394074,0.0,0.11640313552312537,12,0.0776,458,0.8893083701143057,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4135179112,1,1,0,1.0,0.9036094229051362,91.59797287897473,0.0,0.10437691321283202,12,0.0776,451,0.8934921858282223,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4151956731,0,0,1,0.5,0.8451657245792804,64.7308724113676,0.0,0.18091037106060204,12,0.0776,760,0.910939055198954,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4168734350,0,0,1,0.5,0.8832701225478005,65.09918131830135,0.0,0.1902737421059289,12,0.0776,760,0.9170839123676015,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,degraded,4185511969,0,0,1,0.5,0.6632166408965442,56.17938757815379,0.08333333333333337,0.22407677377194177,12,0.0776,760,0.9177443047157783,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2847491758,0,0,1,0.5,0.673127047390191,56.20215072930098,0.08333333333333337,0.22776397270966173,23,0.17072,760,0.8714441475064213,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2864269377,0,0,1,0.5,0.7859245073745508,63.00509788756018,0.0,0.18612154781878343,23,0.17072,760,0.8443675226725151,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2813936520,1,1,0,1.0,0.9372983983938753,89.47524180420781,0.0,0.15462719583848888,23,0.17072,500,0.8440771097558029,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2830714139,0,0,1,0.5,0.8344747495255348,61.498152037580255,0.16666666666666663,0.1747870048748444,23,0.17072,760,0.865256637511173,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2914602234,1,0,1,1.0,0.6822883012300566,78.1032360533949,0.08333333333333337,0.21608599730502506,23,0.17072,726,0.8508796939166589,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2931379853,1,0,1,1.0,0.878046445342927,89.21289134589291,0.08333333333333337,0.10617525729721154,23,0.17072,434,0.8781326273461145,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2881046996,0,0,1,0.5,0.8309941759274403,57.83513924061383,0.25,0.2075780739710526,23,0.17072,760,0.8610282653636976,0.0
webots_physics,balanced_hetero,2,delayed_hazard,crowd_vector,severe,2897824615,1,0,1,1.0,0.7261378325146083,82.04443831414203,0.08333333333333337,0.1665634799921471,23,0.17072,399,0.8733970081708958,0.0
webots_physics,balanced_hetero,2,delayed_hazard,consensus_gated,degraded,3998230570,0,0,1,0.5,0.8665965044268771,61.798316106245046,0.0,0.26168769117231283,12,0.0776,760,0.9223708269544096,0.0
webots_physics,balanced_hetero,2,delayed_hazard,consensus_gated,degraded,4015008189,1,0,1,1.0,0.8225893986843996,84.28290022175557,0.16666666666666663,0.13930134880005757,12,0.0776,649,0.9201269754206658,0.0
webots_physics,balanced_hetero,2,delayed_hazard,consensus_gated,degraded,3964675332,1,1,0,1.0,0.9250652822772839,91.09608644569661,0.0,0.12180823421071191,12,0.0776,587,0.9152485211928874,0.0
